source_publication,target_publication,source_page_id,target_page_id,source_date,target_date,ngram_similarity,shingle_similarity,combined_similarity,shared_content,source_context,target_context,source_window_id,target_window_id,source_combined_id,target_combined_id,source_start_word,source_end_word,target_start_word,target_end_word,source_total_page_words,target_total_page_words,reuse_type
GoldFlower,BigMammaRag,379,1525,1975-03-01,1975-04-01,0.0856353591160221,0.18469015795868773,0.14506823842162148,zero population growth may be all right for the white man because he s crowding this continent,the senate subcommittee con firmed that the hospital s sterilization procedures do not set forth as clearly as possible the fact that the procedures are irreversible however to sterilize any women for non therapeutic reasons in their teens or in their twenties is absolutely callous and criminal dr uri said zero population growth may be all right for the white man because he s crowding this continent says dr uri but for the indian it s genocidal let s control our own reproduction instead of meeting the demands of the white economic social values at a meeting before a regional ihs board dr uri attacked arguments that a poor woman with several children was better off sterilized,or women claremore was still and is sterilizing one woman for every seven births that occur in the hospital this is genocide to indian people dr uri said further that the consent forms are written in grade english and may not be understood by many of the women signing them zero population growth may be all right for the white man because he s crowding this continent but for the indian it s genocidal let s control our own reproduc tion instead of meeting the demands of the white economic social values international women s year mob violence breaks up women s year demonstration from combined reports from majority report correspondents from paris and lisbon the following,2,2,379_w2,1525_w2,300,500,300,500,1388,1555,minimal_reuse
GoldFlower,BigMammaRag,379,1525,1975-03-01,1975-04-01,0.16964285714285715,0.39009287925696595,0.3019128704113224,a recent survey by vasquez carsada at the university of puerto rico indicates that while in only of the women of the island were sterilized now,board dr uri attacked arguments that a poor woman with several children was better off sterilized she s still going to be poor she just won t be able to have more children dr uri maintained native people demonstrate for end to sterilization practices at claremore and in puerto rico a recent survey by vasquez carsada at the university of puerto rico indicates that while in only of the women of the island were sterilized now over one third of the women who are of child bearing age will ever again have children the puerto rican government is considering developing an even wider network of sterilization centers sterilization of native women dr helen rodriguez trained and practiced medicine in puerto rico she gives information useful in,the women lit the fires the crowd closed in it was impossi attacking the belief that a poor woman with several children is better off sterilized dr uri said she s still going to be poor she just won t be able to have more children lns puerto rican women a recent survey by vasquez carsada at the university of puerto rico indicates that while in only of the women of the island were sterilized now only one third of puerto rican women of child bearing age will be able to have children again the puerto rican government is considering development of a still wider network of steriliza tion centers preferring to limit population rather than america backed industrializa tion on the space limited island dr,3,4,379_w3,1525_w4,450,650,600,800,1388,1555,partial_reuse
GoldFlower,BigMammaRag,379,1525,1975-03-01,1975-04-01,0.10674157303370786,0.23691275167785236,0.18484428022019456,most of the women have had some failure in contraceptive use and do not have access to,native women dr helen rodriguez trained and practiced medicine in puerto rico she gives information useful in under standing how native women may fall victim to steriliza tion even by their own consent by and large it s the women with the least education who get sterilized dr rodríguez says most of the women have had some failure in contraceptive use and do not have access to contraceptives on an equal level with women who are,tion on the space limited island dr helen rodriguez who trained and practiced medicine in puerto rico tells how native women may be induced to accept sterilization by their own consent poor women victims by and large it s the women with the least education who get sterilized she said most of the women have had some failure in contraceptive use and do not have access to contracep tives on an equal level with women who are not sterilized she charges that the puerto rican government is unhappy about a supreme court decision legalizing abortion since fewer women will now resort to sterilization dr rodriguez said that other temporary methods of birth con trol are not fairly,3,5,379_w3,1525_w5,450,650,750,950,1388,1555,minimal_reuse
GoldFlower,BigMammaRag,379,1525,1975-03-01,1975-04-01,0.1761194029850746,0.36799410029498525,0.291244221371021,on an equal level with women who are not sterilized she charges that the puerto rican government is unhappy about a supreme court decision legalizing,steriliza tion even by their own consent by and large it s the women with the least education who get sterilized dr rodríguez says most of the women have had some failure in contraceptive use and do not have access to contraceptives on an equal level with women who are not sterilized she charges that the puerto rican government is unhappy about a supreme court decision legalizing abortions because this means fewer women will turn to sterilization to prevent conception if you deny a woman a way out in a situation that she considers desperate and on the other hand you open the door to another way which is sponsored by the government which is free which,native women may be induced to accept sterilization by their own consent poor women victims by and large it s the women with the least education who get sterilized she said most of the women have had some failure in contraceptive use and do not have access to contracep tives on an equal level with women who are not sterilized she charges that the puerto rican government is unhappy about a supreme court decision legalizing abortion since fewer women will now resort to sterilization dr rodriguez said that other temporary methods of birth con trol are not fairly presented as alternatives to sterilization and that many women are led to believe that the operation can be reversed which it cannot the pill widely used ex,4,5,379_w4,1525_w5,600,800,750,950,1388,1555,partial_reuse
GoldFlower,BigMammaRag,379,1525,1975-03-01,1975-04-01,0.053475935828877004,0.2528052805280528,0.17307354264838248,to sterilization and that many women are led to believe that,fairly as an alternative to sterilization and that many women are led to believe that when they again desire to have children that the operation can be reversed it cannot ironically the pill was first used in puerto rico on a wide level for purposes of experimentation in with levels of estrogen that are now considered quite unsafe now that contraceptive pills are safe for,an equal level with women who are not sterilized she charges that the puerto rican government is unhappy about a supreme court decision legalizing abortion since fewer women will now resort to sterilization dr rodriguez said that other temporary methods of birth con trol are not fairly presented as alternatives to sterilization and that many women are led to believe that the operation can be reversed which it cannot the pill widely used ex perimentally in puerto rico in with estrogen levels now considered unsafe is now safe and so expensive that most puerto rican women cannot buy it a study by the public citizen s health research group reported that,5,5,379_w5,1525_w5,750,950,750,950,1388,1555,minimal_reuse
GoldFlower,BigMammaRag,379,1525,1975-03-01,1975-04-01,0.07945205479452055,0.3029294274300932,0.21353847837586415,in fact medical staff pressures are often brought to bear upon the intern who balks at such,to consider limiting the population rather than limiting industrialization a study by the public citizen s health research group p st nw washington d c reported that often sterilizations are sold by physicians who request women to sign sterilization consent forms while they are in the labor pains of childbirth in fact medical staff pressures are often brought to bear upon the intern who balks at such practices the report said other studies have shown that the three factors that contribute most to later regret over sterilization are being very young most of the women sterilized at claremore are,used ex perimentally in puerto rico in with estrogen levels now considered unsafe is now safe and so expensive that most puerto rican women cannot buy it a study by the public citizen s health research group reported that often physicians get women to sign consent forms while in labor in fact medical staff pressures are often brought to bear upon the intern who balks at such procedures the report said other studies indicate that the three factors contributing most to later regret over sterilization are the women being very young at claremore in their teens and twenties having decided under duress and sterilization suggested by the physician rather than the patient as many as one in,5,6,379_w5,1525_w6,750,950,900,1100,1388,1555,minimal_reuse
GoldFlower,BigMammaRag,379,1525,1975-03-01,1975-04-01,0.09749303621169916,0.3215223097112861,0.2319106003114513,in fact medical staff pressures are often brought to bear upon the intern who balks at such,childbirth in fact medical staff pressures are often brought to bear upon the intern who balks at such practices the report said other studies have shown that the three factors that contribute most to later regret over sterilization are being very young most of the women sterilized at claremore are in their teens and twenties deciding under duress the procedure suggested by the physician rather than the patient,used ex perimentally in puerto rico in with estrogen levels now considered unsafe is now safe and so expensive that most puerto rican women cannot buy it a study by the public citizen s health research group reported that often physicians get women to sign consent forms while in labor in fact medical staff pressures are often brought to bear upon the intern who balks at such procedures the report said other studies indicate that the three factors contributing most to later regret over sterilization are the women being very young at claremore in their teens and twenties having decided under duress and sterilization suggested by the physician rather than the patient as many as one in,6,6,379_w6,1525_w6,900,1100,900,1100,1388,1555,minimal_reuse
GoldFlower,BigMammaRag,379,1525,1975-03-01,1975-04-01,0.20245398773006135,0.3147410358565737,0.2698262166059687,as physicians we have obligations to our individual patients but we also have obligations to the society of which we are a part the welfare mess as it has been called cries out for solutions one of which is fertility control,himself to remedy the affairs of the world as he sees it people pollute and too many people crowded too close together cause many of our social and economic problems these in turn are aggravated by involuntary and irresponsible parenthood wrote one doctor in contemporary ob gyn a medical journal as physicians we have obligations to our individual patients but we also have obligations to the society of which we are a part the welfare mess as it has been called cries out for solutions one of which is fertility control this is your population control center in washington d c there is an hew agency called the population control center headed by dr louis hellman it pours out money to groups working with poor people to control their births pcc started funding indian groups in and perhaps not so coincidentally,population problems is another factor in the sterilization of native women one doctor in the contemporary ob gyn a medical journal writes people pollute and too many people crowded too close together cause many of our social and economic problems these in turn are aggravated by involuntary and irresponsible parenthood as physicians we have obligations to our individual patients but we also have obligations to the society of which we are a part the welfare mess as it has been called cries out for solutions one of which is fertility control bmr staffer wins awards chocolate waters staff member of big mama rag has been awarded two certificates of achievement by the colorado press women at their annual awards banquet march she was awarded second place for a personal column in a special in terest tabloid b a as well as,7,7,379_w7,1525_w7,1050,1250,1050,1250,1388,1555,partial_reuse
DoitNow,BigMammaRag,480,1415,1974-01-01,1974-04-01,0.08264462809917356,0.2619207521826729,0.19021030254927315,a permanent responsible position with standard civil service protections and prorated fringe benefits,senate by john tunney d ca bella abzug d ny has introduced a similar bill in the house hr flexible hours is defined as part time employment such as four hours per work day or one to four days per week etc a flexible hours job is intended to be a permanent responsible position with standard civil service protections and prorated fringe benefits another section of the bill requires the secretary of labor to promote expansion of flexible hours employment practices by all public and private employers we feel the bill could especially benefit parents by making it possible for both to contribute to the rearing of their children and to the income,percent of the positions in every level in every executive agency of the federal government be made available on a part time basis part time being defined as either four hours per work day or one to four days per work week a flexible hours job is one which is a permanent responsible position with standard civil service protections and prorated fringe benefits senator tunney declared that the bill would help end the discrimination particularly against women with children imposed by the basic pattern of working hours in our society now feels that the bill could especially benefit,0,7,480_w0,1415_w7,0,200,1050,1250,499,1736,minimal_reuse
DoitNow,BigMammaRag,480,1415,1974-01-01,1974-04-01,0.05121293800539083,0.1756926952141058,0.12590079233061982,a permanent responsible position with standard civil service protections and prorated fringe benefits,senate by john tunney d ca bella abzug d ny has introduced a similar bill in the house hr flexible hours is defined as part time employment such as four hours per work day or one to four days per week etc a flexible hours job is intended to be a permanent responsible position with standard civil service protections and prorated fringe benefits another section of the bill requires the secretary of labor to promote expansion of flexible hours employment practices by all public and private employers we feel the bill could especially benefit parents by making it possible for both to contribute to the rearing of their children and to the income,which is a permanent responsible position with standard civil service protections and prorated fringe benefits senator tunney declared that the bill would help end the discrimination particularly against women with children imposed by the basic pattern of working hours in our society now feels that the bill could especially benefit parents in leaving both free to contribute to the raising of their children and to,0,8,480_w0,1415_w8,0,200,1200,1400,499,1736,minimal_reuse
DoitNow,BigMammaRag,486,1386,1973-11-01,1973-03-01,0.07065217391304347,0.20376597175521183,0.15052045261834449,to the family institution is repugnant to the idea of a woman adopting a,brennan writing the majority opinion in frontiero looked back with considerable regret on the sexist history of the court and noted that the courts have come a long way from the judicial sexism found in cases such as bradwell v illinois where the court concluded that the harmony which belongs to the family institution is repugnant to the idea of a woman adopting a distinct and independent career from that of her husband the paramount destiny and mission of woman are to fulfill the offices of wife and mother with the backdrop of that quotation the supreme court ventured again not only to concur with its decision in reed but to expand it the,or ganizations which is founded in the divine ordinance as well as in the nature of things indicates the domestic sphere as that which properly belongs to the domain and functions of womanhood the har mony not to say identity of in terests and views which belong or should belong to the family institution is repugnant to the idea of a woman adopting a dis tinct and independent career from that of her husband the actual legal basis for the decision was based upon a married wo man s inability to make and enforce contracts only her husband could do that therefore the court was wor ried about how a married woman could effectively,5,2,486_w5,1386_w2,750,950,300,500,1048,1302,minimal_reuse
AintIAWoman,BigMammaRag,767,1724,1971-11-19,1974-11-01,0.14619883040935672,0.2637992831541219,0.21675910205621582,the surface of the nipples gently press each nipple to see if any discharge occurs raise both arms over your head and look for exactly the same things note,self exam from here on you will be trying to find a lump or thickening sit or stand in front of a mirror arms relaxed at your sides and look for any change in size shape and contour also look for puckering or dimpling of the skin and changes on the surface of the nipples gently press each nipple to see if any discharge occurs raise both arms over your head and look for exactly the same things note differences,will more on page fn self exam for breast cancer sit or stand in front of your mirror arms re laxed at your sides and look for any changes in size shape contour also look for puckering or dimpling of the skin and changes in the surface of the nipples gently press each nipple to see if any discharge occurs raise both arms over your head and look for exactly the same things note differ ences since you last examined your breasts from there on you will be trying to find a lump or thickening lie down on your bed put a pillow or bath towel under your left shoulder and your left hand under your head with the fingers of your right hand,2,5,767_w2,1724_w5,300,500,750,950,628,1034,minimal_reuse
AintIAWoman,BigMammaRag,767,1724,1971-11-19,1974-11-01,0.23076923076923078,0.4288461538461538,0.3496153846153846,the surface of the nipples gently press each nipple to see if any discharge occurs raise both arms over your head and look for exactly the same things note,for any change in size shape and contour also look for puckering or dimpling of the skin and changes on the surface of the nipples gently press each nipple to see if any discharge occurs raise both arms over your head and look for exactly the same things note differences since you last examined your breasts with the same gentle pressure feel the lower inner part of your breast incidentally in this area you will feel a ridge of normal tissue don t be alarmed it s normal now bring your left arm down to your side and still,will more on page fn self exam for breast cancer sit or stand in front of your mirror arms re laxed at your sides and look for any changes in size shape contour also look for puckering or dimpling of the skin and changes in the surface of the nipples gently press each nipple to see if any discharge occurs raise both arms over your head and look for exactly the same things note differ ences since you last examined your breasts from there on you will be trying to find a lump or thickening lie down on your bed put a pillow or bath towel under your left shoulder and your left hand under your head with the fingers of your right hand,3,5,767_w3,1724_w5,450,628,750,950,628,1034,partial_reuse
AintIAWoman,BigMammaRag,767,1724,1971-11-19,1974-11-01,0.30042918454935624,0.39325842696629215,0.3561267299995178,use the same gentle pressure to feel the upper outer portion of your left breast from the nipple line to where your arm is resting,part of your breast incidentally in this area you will feel a ridge of normal tissue don t be alarmed it s normal now bring your left arm down to your side and still using the flat part of the fingers of your right hand feel under your left armpit use the same gentle pressure to feel the upper outer portion of your left breast from the nipple line to where your arm is resting and finally feel the lower outer portion of your breast going from the outer part to the nipple repeat the entire procedure as described on the right breast using the left hand for the examination medical supplement page,and going out ward toward the nipple line also feel the area around the nipple use the same gentle pressure to feel the upper outer portion of your left breast from the nipple line to where your arm is resting now bring your left arm down to your side still using the flat part of the fingers of your right hand feel under your left armpit repeat the entire procedure as described on the right breast using the left hand for the examination and finally feel the lower outer portion,3,6,767_w3,1724_w6,450,628,900,1034,628,1034,partial_reuse
AintIAWoman,BigMammaRag,826,1668,1972-08-18,1974-08-01,0.16716417910447762,0.23865199449793673,0.2100568683405531,always carries with it the threat of death and finally rape is a form of mass terrorism for the victims of rape are chosen indiscriminately but,politics of rape there is a national phenomenon in this country that promotes myths about sex and violence that are recreated in imperialist wars against third world countries rape is an act of aggression in which the victim is denied her self determination it is an act of violence which always carries with it the threat of death and finally rape is a form of mass terrorism for the victims of rape are chosen indiscriminately but our male dominated culture tells us that it is women who cause rape by being immoral or in the wrong place at the wrong time in essence by behaving as though we were free for years the male theorists of the anti war movement have spoken about the reasons america,threat of death rape is an act of aggression in which the victim is denied her self determination it is an act of violence which if not actually followed by beatings or murder nevertheless always carries with it the threat of death and finally rape is a form of mass terrorism for the victims of rape are chosen indiscriminately but the propagandists for male supremacy broadcast that it s women who cause rape by being unchaste or in the wrong place at the wrong time in essence by behaving as though they were free the threat of rape is used to deny women unemployment in cali fornia the berkeley public,2,15,826_w2,1668_w15,300,500,2250,2450,1514,2556,partial_reuse
AintIAWoman,BigMammaRag,826,1649,1972-08-18,1974-08-01,0.14912280701754385,0.2807613868116927,0.22810595489403315,men who rape are not abnormal amir writes studies indicate that sex offenders do not constitute a unique or psychopathological type nor are they as a group invariably more disturbed than the control groups to which they are compared,reactionary in relation to the third world and therefore have to be even more careful in examining our politics however the another myth that men who rape women are pathological as distinct from your basic average run of the mill male amir s study called patterns in forcible rape says men who rape are not abnormal amir writes studies indicate that sex offenders do not constitute a unique or psychopathological type nor are they as a group invariably more disturbed than the control groups to which they are compared allen taylor a parole officer who has worked with rapists in prison facilities stated the question in plainer language those men were the most normal men there they had a lot of hangups but they were the same hangups that men walking out on the street have let s just,any man who would rape a woman must be out of his mind rapists as insane though the theory that rapists are insane is a popular one this belief has no basis in fact according to professor menachem amir s study of rape cases in philadelphia patterns in forcible rape men who rape are not abnormal amir writes studies indicate that sex offenders do not constitute a unique or psychopathological type nor are they as a group invariably more disturbed than the control groups to which they are compared alan taylor a parole officer who has worked with rapists in the prison facilities at san luis obispo california stated the ques tion in plainer language those men were the most normal men,7,5,826_w7,1649_w5,1050,1250,750,950,1514,1839,minimal_reuse
AintIAWoman,BigMammaRag,826,1649,1972-08-18,1974-08-01,0.10764872521246459,0.23525377229080932,0.1842117534594714,are they as a group invariably more disturbed than the control groups to which they are compared,myth that men who rape women are pathological as distinct from your basic average run of the mill male amir s study called patterns in forcible rape says men who rape are not abnormal amir writes studies indicate that sex offenders do not constitute a unique or psychopathological type nor are they as a group invariably more disturbed than the control groups to which they are compared allen taylor a parole officer who has worked with rapists in prison facilities stated the question in plainer language those men were the most normal men there they had a lot of hangups but they were the same hangups that men walking out on the street have let s just,are they as a group invariably more disturbed than the control groups to which they are compared alan taylor a parole officer who has worked with rapists in the prison facilities at san luis obispo california stated the ques tion in plainer language those men were the most normal men there they had a lot of hang ups but they were the same hang ups as men,7,6,826_w7,1649_w6,1050,1250,900,1100,1514,1839,minimal_reuse
AintIAWoman,BigMammaRag,827,1668,1972-08-18,1974-08-01,0.12258064516129032,0.24222222222222223,0.19436559139784948,personality takes place this breaking of the personality characterizes modern life itself no simple reforms can eliminate rape as the symbolic expression of the white male hierarchy rape,wars the same men and power structure who victimize women are en gaged in the act of raping vietnam raping black people and the very earth we live upon rape is a classic act of domination where the emotions of hatred contempt and the desire to break or vio late personality takes place this breaking of the personality characterizes modern life itself no simple reforms can eliminate rape as the symbolic expression of the white male hierarchy rape,nature of male behavior must change but rape is not an isolated act that can be rooted out from patriarchy without ending patriarchy itself rape is a classic act of domination where in the words of kate millett the emotions of hatred contempt and the desire to break or violate personality takes place this breaking of the personality characterizes modern life itself no simple reforms can eliminate rape as the symbolic expression of the white male hierarchy rape is the quintessential act of our civilization one which valerie solanis warns is in danger of humping itself to death,3,16,827_w3,1668_w16,450,650,2400,2556,783,2556,minimal_reuse
AintIAWoman,BigMammaRag,827,1668,1972-08-18,1974-08-01,0.1935483870967742,0.2894736842105263,0.2511035653650255,personality takes place this breaking of the personality characterizes modern life itself no simple reforms can eliminate rape as the symbolic expression of the white male hierarchy rape is the,upon rape is a classic act of domination where the emotions of hatred contempt and the desire to break or vio late personality takes place this breaking of the personality characterizes modern life itself no simple reforms can eliminate rape as the symbolic expression of the white male hierarchy rape is the ultimate act of our civilization one which valerie solanis warns is in danger of humping itself to death this speech was written by lesbian feminists hollibaugh von bretzel crichton lindbloom this speech was given on may th at a large anti war rally in boston all publicity prior to the,nature of male behavior must change but rape is not an isolated act that can be rooted out from patriarchy without ending patriarchy itself rape is a classic act of domination where in the words of kate millett the emotions of hatred contempt and the desire to break or violate personality takes place this breaking of the personality characterizes modern life itself no simple reforms can eliminate rape as the symbolic expression of the white male hierarchy rape is the quintessential act of our civilization one which valerie solanis warns is in danger of humping itself to death,4,16,827_w4,1668_w16,600,783,2400,2556,783,2556,partial_reuse
AintIAWoman,BigMammaRag,828,1693,1972-08-18,1974-10-01,0.4233576642335766,0.5213523131672598,0.48215445359378656,primary factors that determine a person s class identity are the work she does the bulk of work working class women do is service factory or office work most often low paying and with little hope for advancement if she has a family she must work two jobs one in her home and one in the labor force work is a,from different classes generally a working class woman is one who works to support herself and or her family who depends upon her own income to this end and who has no options to fall back on for financial support such as family identification husband or other benefactors the three primary factors that determine a person s class identity are the work she does the bulk of work working class women do is service factory or office work most often low paying and with little hope for advancement if she has a family she must work two jobs one in her home and one in the labor force work is a neces sity for her not an option the bulk of work middle class women do is managerial professional or volunteer for middle class women their work is not a material necessity but an attempt to achieve fulfillment or escape boredom under the illusion that somehow their jobs are beneficial to,problems of class and caste is a giant step toward sisterhood that step must be taken now and we must all take it together part the primary factors that determine a person s class identity are the work she does the bulk of work working class women do is service factory or office work most often low paying and with little hope for advancement if she has a family she must work two jobs one in her home and one in the labor force work is a necessity for her not an option the bulk of work middle class women do is managerial professional or volunteer for middle class women their work is not a material necessity but an attempt to achieve fulfillment or escape boredom under the illusion that somehow their jobs are beneficial to the,2,14,828_w2,1693_w14,300,500,2100,2300,2840,2761,moderate_reuse
AintIAWoman,BigMammaRag,828,1714,1972-08-18,1974-11-01,0.07988980716253444,0.1768377253814147,0.13805855809386258,for middle class women their work is not a material necessity but an attempt to achieve fulfillment or escape boredom under the illusion that somehow their jobs are beneficial to the world,paying and with little hope for advancement if she has a family she must work two jobs one in her home and one in the labor force work is a neces sity for her not an option the bulk of work middle class women do is managerial professional or volunteer for middle class women their work is not a material necessity but an attempt to achieve fulfillment or escape boredom under the illusion that somehow their jobs are beneficial to the world her background the working class background a woman growing up in a work ing class family knows what it is like to,s center east sixth street tucson az after attending three meetings a woman can become a voting member big mama rag vol no letters home from page responses to class analysis dear people i would like to answer the analysis part in the october bmr in which it is stated for middle class women their work is not a material necessity but an attempt to achieve fulfillment or escape boredom under the illusion that somehow their jobs are beneficial to the world i am concerned that the analysis and the article a working class perspective tries to hang a middle class woman with some of the very same things that men try to hang on middle class women i would suggest your reading survival in the sexual jungle by andrew dee brin,2,11,828_w2,1714_w11,300,500,1650,1850,2840,2175,minimal_reuse
AintIAWoman,BigMammaRag,828,1693,1972-08-18,1974-10-01,0.2364217252396166,0.3890577507598784,0.3280033405517737,class family knows what it is like to have material needs her labor power is important from the time she is small and often she begins supporting herself while still in her teens schools and parents try to,their work is not a material necessity but an attempt to achieve fulfillment or escape boredom under the illusion that somehow their jobs are beneficial to the world her background the working class background a woman growing up in a work ing class family knows what it is like to have material needs her labor power is important from the time she is small and often she begins supporting herself while still in her teens schools and parents try to channel her into learning practical skills for survival such as home ec and secretarial skills rather than college prep courses if she rebels against this she learns no skills and must work at the lowest paying non skilled jobs or resort to prostitu tion if she aspires and goes on,managerial professional or volunteer for middle class women their work is not a material necessity but an attempt to achieve fulfillment or escape boredom under the illusion that somehow their jobs are beneficial to the world her background the working class back ground a woman growing up in a working class family knows what it is like to have material needs her labor power is important from the time she is small and often she begins supporting herself while still in her teens schools and parents try to page channel her into learning practical skills for survival such,3,14,828_w3,1693_w14,450,650,2100,2300,2840,2761,partial_reuse
AintIAWoman,BigMammaRag,828,1693,1972-08-18,1974-10-01,0.5254901960784314,0.6831421006178288,0.6200813388020698,class family knows what it is like to have material needs her labor power is important from the time she is small and often she begins supporting herself while still in her teens schools and parents try to,their work is not a material necessity but an attempt to achieve fulfillment or escape boredom under the illusion that somehow their jobs are beneficial to the world her background the working class background a woman growing up in a work ing class family knows what it is like to have material needs her labor power is important from the time she is small and often she begins supporting herself while still in her teens schools and parents try to channel her into learning practical skills for survival such as home ec and secretarial skills rather than college prep courses if she rebels against this she learns no skills and must work at the lowest paying non skilled jobs or resort to prostitu tion if she aspires and goes on,a working class family knows what it is like to have material needs her labor power is important from the time she is small and often she begins supporting herself while still in her teens schools and parents try to page channel her into learning practical skills for survival such as home ec and secre tarial skills rather than college prep courses if she rebels against this she learns no skills and must work at the lowest paying non skilled jobs or resort to prostitution if she aspires and goes,3,15,828_w3,1693_w15,450,650,2250,2450,2840,2761,moderate_reuse
AintIAWoman,BigMammaRag,828,1714,1972-08-18,1974-11-01,0.06868131868131869,0.1649550706033376,0.12644556983453004,their work is not a material necessity but an attempt to achieve fulfillment or escape boredom under the illusion that somehow their jobs are beneficial to the world,their work is not a material necessity but an attempt to achieve fulfillment or escape boredom under the illusion that somehow their jobs are beneficial to the world her background the working class background a woman growing up in a work ing class family knows what it is like to have material needs her labor power is important from the time she is small and often she begins supporting herself while still in her teens schools and parents,street tucson az after attending three meetings a woman can become a voting member big mama rag vol no letters home from page responses to class analysis dear people i would like to answer the analysis part in the october bmr in which it is stated for middle class women their work is not a material necessity but an attempt to achieve fulfillment or escape boredom under the illusion that somehow their jobs are beneficial to the world i am concerned that the analysis and the article a working class perspective tries to hang a middle class woman with some of the very same things that men try to hang on middle class women i would suggest your reading survival in the sexual jungle by andrew dee brin,3,11,828_w3,1714_w11,450,650,1650,1850,2840,2175,minimal_reuse
AintIAWoman,BigMammaRag,828,1693,1972-08-18,1974-10-01,0.2236024844720497,0.37582903463522477,0.31493841456995475,a woman growing up in a middle class family learns the skills necessary to make it in the system she learns the proper ways of speaking and relating to people she develops self confidence through the security of her social environment she is assured of a college,loans and scholar ships and receives little help finding employment after graduation the middle class background a woman growing up in a middle class family learns the skills necessary to make it in the system she learns the proper ways of speaking and relating to people she develops self confidence through the security of her social environment she is assured of a college edu cation learns what is expected of her and is promised a social position she has the luxury of sampling the latest fads experimenting with different life styles or doing things just for the experience because she knows that she can always get money from her parents if she needs,paying non skilled jobs or resort to prostitution if she aspires and goes on to college she finds it a constant struggle because she lacks the right contacts she has great difficulty learning about loans and scholarships and receives little help finding employment after graduation the middle class back ground a woman growing up in a middle class family learns the skills necessary to make it in the system she learns the proper ways of speaking and relating to people she develops self confidence through the security of her social environment she is assured of a college educa tion learns what is expected of her and is promised a social position she has the luxury of sampling the latest fads experimenting with dif,4,15,828_w4,1693_w15,600,800,2250,2450,2840,2761,partial_reuse
AintIAWoman,BigMammaRag,828,1693,1972-08-18,1974-10-01,0.572,0.7109602327837051,0.6553761396702231,or doing things just for the experience because she knows that she can always get money from her parents if she needs it when she takes a low paying job it is temporary because she has the skills contacts and education to either find another job or to align herself with a middle class man her relationship with men this is the most important determinant of class identity the economic class system is a hierarchy of power among men a woman s class,speaking and relating to people she develops self confidence through the security of her social environment she is assured of a college edu cation learns what is expected of her and is promised a social position she has the luxury of sampling the latest fads experimenting with different life styles or doing things just for the experience because she knows that she can always get money from her parents if she needs it when she takes a low paying job it is temporary because she has the skills contacts and education to either find another job or to align herself with a middle class man her relationship with men this is the most important determinant of class identity the economic class system is a hierarchy of power among men a woman s class identity is determined by her relationship to men first by her father later by her husband the higher up her man is in the class hierarchy,speaking and relating to people she develops self confidence through the security of her social environment she is assured of a college educa tion learns what is expected of her and is promised a social position she has the luxury of sampling the latest fads experimenting with dif ferent lifestyles or doing things just for the experience because she knows that she can always get money from her parents if she needs it when she takes a low paying job it is temporary because she has the skills contacts and education to either find another job or to align herself with a middle class man her relationship with men this is the most important determinant of class identity the economic class system is a hierarchy of power among men a woman s class identi ty is determined by her relationship to men first by her father later by her husband the higher up her man is in the class hierarchy the more she benefits from the system the wife of a middle class man need not work for her survival outside of her,4,16,828_w4,1693_w16,600,800,2400,2600,2840,2761,moderate_reuse
AintIAWoman,BigMammaRag,828,1693,1972-08-18,1974-10-01,0.2508038585209003,0.3087195600942655,0.28555327946491943,is determined by her relationship to men first by her father later by her husband the higher up her man is in the class hierarchy the more she benefits from the system the wife of a middle class man need not work for her survival outside of her home because she is provided for by her husband she is economically,this is the most important determinant of class identity the economic class system is a hierarchy of power among men a woman s class identity is determined by her relationship to men first by her father later by her husband the higher up her man is in the class hierarchy the more she benefits from the system the wife of a middle class man need not work for her survival outside of her home because she is provided for by her husband she is economically dependent on him the wife of a working class man is forced to be economically de pendent upon herself the family cannot make ends meet on the husband s income alone the single woman is obviously working class ignoring a few token exceptions because women are the lowest paid workers,has the skills contacts and education to either find another job or to align herself with a middle class man her relationship with men this is the most important determinant of class identity the economic class system is a hierarchy of power among men a woman s class identi ty is determined by her relationship to men first by her father later by her husband the higher up her man is in the class hierarchy the more she benefits from the system the wife of a middle class man need not work for her survival outside of her home because she is provided for by her husband she is economically depend ent on,5,16,828_w5,1693_w16,750,950,2400,2600,2840,2761,partial_reuse
AintIAWoman,BigMammaRag,828,1693,1972-08-18,1974-10-01,0.42592592592592593,0.5073260073260073,0.47476597476597476,her husband the higher up her man is in the class hierarchy the more she benefits from the system the wife of a middle class man need not work for her survival outside of her home because she is provided for by her husband she is economically,this is the most important determinant of class identity the economic class system is a hierarchy of power among men a woman s class identity is determined by her relationship to men first by her father later by her husband the higher up her man is in the class hierarchy the more she benefits from the system the wife of a middle class man need not work for her survival outside of her home because she is provided for by her husband she is economically dependent on him the wife of a working class man is forced to be economically de pendent upon herself the family cannot make ends meet on the husband s income alone the single woman is obviously working class ignoring a few token exceptions because women are the lowest paid workers,her husband the higher up her man is in the class hierarchy the more she benefits from the system the wife of a middle class man need not work for her survival outside of her home because she is provided for by her husband she is economically depend ent on him the wife of a working class man is forced to be economically dependent upon herself the family cannot make ends meet on the husband s income alone the single woman is obvi ously working class ignoring a few token exceptions because women are the lowest paid,5,17,828_w5,1693_w17,750,950,2550,2750,2840,2761,moderate_reuse
